model,aeci,aeci_ci_low,aeci_ci_high,source
Claude 3 Opus,126.0,123.9,126.8,fable5_card
Claude 3.5 Sonnet,130.0,130.0,130.0,fable5_card
Claude 3.5 Sonnet (new),133.4,132.3,135.3,fable5_card
Claude 3.7 Sonnet,139.6,138.3,141.2,fable5_card
Claude Opus 4,142.1,140.4,143.8,fable5_card
Claude Sonnet 4.5,145.9,144.3,148.2,fable5_card
Claude Opus 4.5,148.3,146.7,150.7,fable5_card
Claude Opus 4.6,152.6,150.4,155.3,fable5_card
Claude Opus 4.7,155.0,152.3,157.9,fable5_card
Claude Opus 4.8,156.4,153.2,159.4,fable5_card
Claude Mythos Preview,158.91,156.19,162.84,fable5_card
Claude Mythos/Fable 5,161.29,157.32,165.39,fable5_card
Claude Opus 5,162.1,158.0,167.3,opus5_card
